mean;stdev;acceptation;E(fitness);sigma(fitness);Generation;fitness1;Genes(Scores(0,1),:);fitness50;Genes(Scores(49,1),:);fitness100;Genes(Scores(99,1),:);
0; 10; 0.9; 0.320575; 0.0791089; 0; 0.57185; [-0.273295, -15.7171, 4.22529, 1.19745, -6.72002, 11.4444, -7.83687, 4.22782, 5.8819, 1.55547, 11.5776, 15.7642, 10.4323, 18.4059, 3.05365, 0.701358, 3.67698, -3.04627, 15.8185, -3.86951, -7.61907, ]; 0.311302; [-10.8692, 9.94101, 16.7153, 25.1379, -10.1004, 5.31939, -8.02589, 15.3042, -0.190916, -11.3547, 10.6609, 1.50123, 5.08046, -0.14181, 1.15497, -12.8184, -7.03129, 12.502, 10.6988, -2.67317, -1.7911, ]; 0.168634; [-3.36981, -0.666739, -5.91702, -0.992296, -6.79694, -6.03054, 8.60832, -16.5854, 0.198652, 11.6489, -11.8551, -10.0335, -2.35887, -1.14522, -17.8979, -5.87706, 25.7303, -5.48462, -18.5961, -13.5777, -3.91174, ];
0; 10; 0.9; 0.340795; 0.0812468; 1; 0.554883; [-8.5007, -3.29574, 6.79772, 13.0944, 17.4676, 0.324343, 12.9105, -12.7458, -5.54191, -3.43868, 3.77348, 0.881928, 1.60731, 4.84886, 17.4717, -1.71418, -1.48761, 11.4514, 13.7497, 7.80097, -11.049, ]; 0.344825; [-14.1269, -6.39236, -16.3872, -12.2078, 9.9443, 8.60232, -6.6998, -4.38435, 26.3647, -0.539849, -13.7734, 18.4936, -10.7238, 4.10466, 5.39898, 6.02413, 12.9527, 6.08285, -3.51249, -2.16589, -12.6615, ]; 0.180803; [-9.33742, -4.29173, -11.5345, -12.2273, 17.2981, 7.69725, -14.1658, 12.5067, 9.52707, -3.17631, -5.3224, -13.3084, -1.17821, 6.86597, -3.76903, 9.80918, 10.4199, 4.85832, -2.35149, -4.25116, -12.5638, ];
0; 10; 0.9; 0.384004; 0.0744037; 2; 0.579237; [11.7768, -3.29574, 15.5714, 3.40344, 18.6817, -12.6342, 12.9105, 15.8569, -5.54191, -3.43868, -13.4251, 11.9081, 1.60731, 4.84886, 17.4717, 15.6477, -1.48761, 11.4514, 13.7497, 7.80097, 5.914, ]; 0.373939; [5.96889, 10.3978, -4.39197, -4.238, 17.2981, 14.7486, 10.4375, 1.93603, 9.52707, -3.36684, 15.9333, -13.3084, 17.6862, -1.79289, 0.556083, -1.7447, -17.301, -14.2353, 11.2134, -12.3143, -12.5638, ]; 0.227032; [-7.73874, -6.39236, -8.45775, -12.2078, -6.76909, -9.30136, 10.5491, -4.28513, 2.3044, -14.1619, -13.7734, 3.64401, 3.16055, -6.80484, 3.23456, -1.63315, 8.47662, -3.63409, 2.46865, 0.218939, -9.52939, ];
0; 10; 0.9; 0.389274; 0.087936; 3; 0.818085; [-8.5007, 17.6887, 15.5714, 13.0944, 2.60015, 22.929, 12.9105, 15.8569, -2.21582, -1.86616, 11.422, 0.881928, -7.01145, 13.4734, 17.4717, -20.3187, -1.48761, 11.4514, 0.0452351, 7.80097, 2.92665, ]; 0.373939; [-8.5007, 7.79417, -5.95604, 13.0944, 0.0568481, 23.4187, -8.01135, -4.38435, -5.54191, 3.36065, -0.969319, 0.881928, 3.16055, 4.84886, 3.00958, 15.9376, -6.82558, 2.07036, 13.7497, 7.80097, -1.12749, ]; 0.172788; [-18.8028, 4.5449, -5.47535, -17.6057, 3.86269, 0.324343, 12.9105, -4.3296, -0.581643, 5.53735, 11.422, -0.366562, -7.01145, -13.7401, 8.87743, -20.3187, 7.60505, 3.47897, 6.05534, 3.53695, -4.92887, ];
0; 10; 0.9; 0.400818; 0.0878705; 4; 0.605768; [-18.8028, 3.29574, -5.95604, 13.0944, 17.4676, -9.30136, -12.3175, 4.64217, 2.95462, 8.85108, -5.3224, 6.30927, 12.4416, 5.8792, 8.87743, 14.0348, 7.60505, 2.48154, 0.0452351, -6.17449, 2.01425, ]; 0.405863; [-20.0297, -16.2384, 15.5714, 3.40344, 18.6817, -19.3319, 7.96511, 2.75082, -5.68959, -2.09977, -2.37228, 11.9081, -7.22568, 6.96452, 6.63837, 15.6477, -0.757415, 11.3111, 14.0007, 2.13331, 5.914, ]; 0.172788; [-18.8028, 4.5449, -5.47535, -17.6057, 3.86269, 0.324343, 12.9105, -4.3296, -0.581643, 5.53735, 11.422, -0.366562, -7.01145, -13.7401, 8.87743, -20.3187, 7.60505, 3.47897, 6.05534, 3.53695, -4.92887, ];
0; 10; 0.9; 0.414631; 0.085681; 5; 0.684788; [-8.5007, 7.92888, 6.79772, 3.40344, 18.6817, -18.7758, 5.16993, 5.00793, -2.21582, -1.86616, -13.4251, 11.9081, 1.60731, 13.4734, 3.23456, 15.6477, 10.4199, -3.63409, 6.05534, 3.53695, 2.01425, ]; 0.408907; [10.3712, -3.29574, -16.3872, -17.6057, 17.4676, 16.7816, -8.01135, 2.75082, -4.8517, -3.43868, 3.77348, 11.9081, -9.9963, 5.8792, 8.87743, 15.9376, 15.4475, 11.3111, 2.46865, 6.67237, -11.049, ]; 0.225532; [11.7768, -6.49725, -5.47535, 3.40344, 18.6817, 22.929, 2.9792, -4.3296, -2.21582, 8.85108, -13.4251, 11.9081, -7.22568, -13.7401, 8.87743, 15.6477, 10.4199, 3.47897, -20.8139, 7.93131, -4.92887, ];
0; 10; 0.9; 0.452634; 0.124934; 6; 1.08812; [-18.8028, 7.92888, 6.79772, 3.40344, 18.6817, 22.929, 5.16993, 5.00793, -2.21582, -3.43868, 11.422, 11.9081, 1.60731, 5.8792, 3.23456, 15.6477, 10.1235, 2.48154, 0.0452351, 7.80097, 2.92665, ]; 0.444912; [-5.42062, -1.00511, 13.1139, 7.91422, -3.8465, -4.01928, -0.647377, -9.13174, -1.70625, -0.31484, -3.74625, -9.97674, 1.8228, 25.7081, 1.53283, 11.0178, -30.4697, -9.36982, -1.78615, 4.86079, -7.09711, ]; 0.247481; [-5.42062, -1.00511, 13.1139, 7.91422, -3.8465, -4.01928, 5.16993, 5.00793, -1.70625, -0.31484, -13.4251, -9.97674, 1.60731, 13.4734, 3.23456, 11.0178, 10.4199, -9.36982, 6.05534, 3.53695, -7.09711, ];
0; 10; 0.9; 0.484871; 0.135902; 7; 1.18099; [-9.55565, 7.79417, 15.5714, 13.0944, -0.26274, -2.64982, -8.01135, 15.8569, 6.25371, 3.36065, 20.8684, 0.881928, 2.10694, 6.28986, 17.4717, -1.71418, 12.1532, 7.10461, 13.7497, 16.2943, 2.92665, ]; 0.466761; [-8.5007, -1.00511, 13.1139, 11.7748, -3.8465, 22.929, 7.96511, -4.3296, -1.70625, 3.48074, 11.422, -9.97674, 1.8228, 25.7081, 1.53283, -20.3187, -13.6921, -9.36982, -1.78615, 16.2943, -4.92887, ]; 0.250734; [-18.8028, 4.5449, 15.5714, -17.6057, 2.60015, -19.3319, -12.3175, 18.707, 2.95462, 8.85108, 11.422, -12.1019, -7.01145, 5.8792, 6.63837, -20.3187, 7.60505, 2.48154, 0.0452351, -6.17449, 2.92665, ];
0; 10; 0.9; 0.509162; 0.12995; 8; 0.910525; [-9.55565, -1.00511, 15.5714, 7.91422, -0.26274, 23.4187, -0.647377, 15.8569, -1.70625, 3.36065, 3.77348, 0.881928, 1.8228, 25.7081, 1.53283, -1.71418, -1.48761, 2.07036, 13.7497, 4.86079, 2.92665, ]; 0.504483; [-18.8028, -3.29574, -5.95604, 13.0944, 17.4676, 22.929, -12.3175, 18.707, 2.95462, 8.85108, 11.422, -12.1019, -7.01145, 5.8792, 8.87743, -20.3187, 7.60505, 2.48154, 0.0452351, -6.17449, 2.01425, ]; 0.254073; [10.5267, 4.5449, 15.5714, -12.2078, 2.60015, 0.324343, -12.3175, 4.64217, -8.11772, -2.09977, -2.37228, -0.366562, 5.1268, -13.7401, 8.87743, 15.6477, -6.82558, 3.47897, 0.0452351, -6.17449, -3.07143, ];
0; 10; 0.9; 0.543783; 0.133402; 9; 1.06721; [-9.55565, 7.79417, 15.5714, 13.0944, -0.26274, 23.4187, 7.96511, 2.75082, 12.772, 3.36065, 20.8684, 11.9081, 1.60731, 5.8792, 3.00958, -1.71418, -1.48761, 2.07036, 13.7497, 6.01731, -11.049, ]; 0.529151; [-8.5007, 7.92888, 6.79772, 13.0944, 18.6817, 22.929, 7.96511, 5.00793, 6.25371, -1.86616, -13.4251, 11.9081, -6.83847, 13.4734, 12.3282, -20.3187, 10.4199, 2.07036, 13.7497, 16.2943, -4.92887, ]; 0.254073; [-8.5007, 2.23707, 6.79772, 3.40344, 16.0392, -18.7758, 5.16993, 2.75082, -2.21582, -5.53735, 3.77348, -5.67933, 1.60731, 4.10466, 3.23456, 15.6477, -22.7493, -3.63409, 6.05534, 3.53695, 2.01425, ];
0; 10; 0.9; 0.584025; 0.183189; 10; 1.45494; [-9.55565, -1.00511, 15.5714, 7.91422, -0.26274, 23.4187, -0.647377, 15.8569, -1.70625, 3.36065, 3.77348, 0.881928, 1.8228, 25.7081, 1.53283, -1.71418, -1.48761, 2.07036, 13.7497, 4.86079, 2.92665, ]; 0.537104; [-9.55565, 7.92888, 15.5714, 3.40344, 0.0568481, -4.01928, 12.9105, 2.75082, 6.25371, 5.53735, 20.8684, 0.881928, -6.83847, 5.8792, 17.4717, -1.71418, 12.1532, 2.07036, 0.0452351, 6.01731, -1.12749, ]; 0.344629; [-9.55565, -6.67031, 15.5714, 11.7748, 17.4676, -4.01928, 12.9105, -4.38435, -3.2104, 5.53735, 3.77348, 0.881928, -6.83847, 5.8792, 17.4717, 11.0178, 12.1532, 2.07036, 13.7497, 6.01731, -9.52939, ];
0; 10; 0.9; 0.604072; 0.189106; 11; 1.45494; [-9.55565, -1.00511, 15.5714, 7.91422, -0.26274, 23.4187, -0.647377, 15.8569, -1.70625, 3.36065, 3.77348, 0.881928, 1.8228, 25.7081, 1.53283, -1.71418, -1.48761, 2.07036, 13.7497, 4.86079, 2.92665, ]; 0.569965; [10.5267, -16.2384, 6.79772, 13.0944, 18.6817, 5.90409, -8.01135, 15.8569, -5.54191, 0.952889, -0.969319, 6.30927, -7.22568, 6.96452, 17.4717, 15.9376, 7.60505, 11.3111, 13.7497, 6.67237, 2.01425, ]; 0.225532; [-9.55565, -6.67031, -5.47535, 3.40344, 17.4676, -4.01928, 5.16993, -4.38435, 5.90475, 0.952889, -0.969319, -5.67933, 1.60731, -13.7401, -15.5108, 11.0178, 10.1235, 11.4514, 1.27723, 16.2943, -11.049, ];
0; 10; 0.9; 0.666392; 0.290391; 12; 2.4937; [10.5267, 17.6887, 15.5714, 13.0944, 18.6817, 22.929, 6.71753, 3.10647, 6.25371, 5.53735, 1.31256, -6.06343, 3.75126, 6.96452, 12.3282, 15.6477, 10.4199, 7.10461, 6.05534, 4.35408, -1.12749, ]; 0.588812; [-9.55565, 3.6151, 15.5714, 13.0944, 18.6817, 23.4187, -8.01135, 15.8569, -5.54191, 3.36065, 20.8684, 0.881928, -6.83847, 6.96452, 17.4717, -1.71418, 7.60505, 11.3111, 2.46865, 16.2943, 2.92665, ]; 0.354325; [-9.55565, -6.67031, 15.5714, 13.0944, 17.4676, -4.01928, -8.01135, -4.38435, -5.54191, 5.53735, -0.969319, -5.67933, -6.83847, 6.96452, 6.63837, -1.71418, 7.60505, 11.4514, 1.27723, 6.01731, -11.049, ];
0; 10; 0.9; 0.731681; 0.345045; 13; 2.4937; [10.5267, 17.6887, 15.5714, 13.0944, 18.6817, 22.929, 6.71753, 3.10647, 6.25371, 5.53735, 1.31256, -6.06343, 3.75126, 6.96452, 12.3282, 15.6477, 10.4199, 7.10461, 6.05534, 4.35408, -1.12749, ]; 0.629276; [10.5267, 7.79417, 15.5714, 3.40344, -0.26274, -4.01928, 7.96511, 2.75082, 12.772, 3.36065, 20.8684, -6.06343, -6.83847, 5.8792, 3.00958, -1.71418, -1.48761, 2.07036, 13.7497, 7.80097, -7.09711, ]; 0.408907; [-9.55565, 7.79417, 15.5714, 3.40344, -0.26274, 22.929, 7.96511, 2.75082, -5.54191, 3.36065, 20.8684, 0.881928, -6.83847, 6.96452, 3.00958, -1.71418, -1.48761, 2.07036, 0.0452351, 6.01731, -11.049, ];
0; 10; 0.9; 0.82399; 0.578036; 14; 4.99811; [10.5267, 7.79417, 15.5714, 3.39579, -0.26274, 22.929, 6.71753, 3.10647, 5.90475, 5.53735, 1.31256, 0.881928, 3.75126, 13.4734, 3.00958, -1.71418, 10.4199, 7.10461, 6.05534, 4.35408, -1.12749, ]; 0.639658; [-9.55565, 7.79417, -5.95604, 13.0944, 18.6817, 23.4187, -8.01135, 15.8569, -5.54191, 5.53735, 1.31256, 11.9081, 3.75126, 6.96452, 6.63837, 15.6477, -1.48761, 2.07036, 6.05534, 16.2943, -11.049, ]; 0.326208; [-9.55565, -3.29574, 15.5714, 3.40344, 18.6817, 22.929, 6.71753, 2.75082, 6.25371, -3.43868, 20.8684, 0.881928, -6.83847, 6.96452, 12.3282, -1.71418, -1.48761, 2.07036, 0.0452351, 16.2943, -11.049, ];
0; 10; 0.9; 0.919792; 0.628492; 15; 4.99811; [10.5267, 7.79417, 15.5714, 3.39579, -0.26274, 22.929, 6.71753, 3.10647, 5.90475, 5.53735, 1.31256, 0.881928, 3.75126, 13.4734, 3.00958, -1.71418, 10.4199, 7.10461, 6.05534, 4.35408, -1.12749, ]; 0.733856; [10.5267, 7.79417, 15.5714, 13.0944, 18.6817, 23.4187, 7.96511, 2.75082, -0.581643, 3.36065, 20.8684, 11.9081, -6.83847, 5.8792, 3.00958, -1.71418, -1.48761, 2.07036, 13.7497, 16.2943, -7.09711, ]; 0.408907; [10.5267, 17.6887, 15.5714, 13.0944, 18.6817, -2.64982, 5.16993, 3.10647, 5.90475, 0.952889, 1.31256, -6.06343, 1.60731, -13.7401, -15.5108, 15.6477, 10.4199, 2.07036, 2.46865, 16.2943, -1.12749, ];
0; 10; 0.9; 1.03191; 0.683403; 16; 4.99811; [10.5267, 7.79417, 15.5714, 3.39579, -0.26274, 22.929, 6.71753, 3.10647, 5.90475, 5.53735, 1.31256, 0.881928, 3.75126, 13.4734, 3.00958, -1.71418, 10.4199, 7.10461, 6.05534, 4.35408, -1.12749, ]; 0.837047; [10.5267, -16.2384, 6.79772, 3.40344, 18.6817, 23.4187, -8.01135, 3.10647, 5.90475, 8.85108, 1.31256, -6.06343, 1.60731, 5.8792, 8.87743, -1.71418, -1.48761, 11.3111, 13.7497, 16.2943, 2.01425, ]; 0.427445; [-9.55565, 17.6887, -5.47535, 13.0944, 18.6817, 23.4187, 6.71753, -9.13174, 5.90475, 5.53735, 1.31256, -6.06343, 1.60731, 4.10466, 17.4717, -1.71418, -13.6921, 7.10461, 13.7497, 6.01731, -1.12749, ];
0; 10; 0.9; 1.0877; 0.608717; 17; 5.85961; [10.5267, 7.79417, 15.5714, 7.91422, -0.26274, 23.4187, 7.96511, 3.10647, 5.90475, 3.53699, -0.969319, 0.881928, 3.75126, 5.8792, 6.63837, 15.6477, 10.4199, 2.07036, 13.7497, 6.67237, 2.92665, ]; 0.964587; [10.5267, 7.79417, 15.5714, 13.0944, 18.6817, 22.929, -8.01135, 2.75082, -5.54191, 3.36065, 20.8684, 0.881928, 3.75126, 5.8792, 17.4717, -1.71418, -1.48761, 2.07036, 6.05534, 16.2943, -1.12749, ]; 0.512449; [10.5267, -16.2384, -5.47535, 13.0944, 18.6817, -2.64982, -8.01135, 3.10647, -5.54191, 5.53735, 1.31256, -6.06343, 1.60731, -4.10466, 6.63837, -1.71418, 10.4199, 11.3111, 6.05534, 16.2943, -1.12749, ];
0; 10; 0.9; 1.11611; 0.600945; 18; 5.29673; [10.5267, 7.79417, 15.5714, 7.91422, -0.26274, 23.4187, -0.647377, 3.10647, 5.90475, 3.53699, -0.969319, 0.881928, 3.75126, 5.8792, 6.63837, 15.6477, 10.4199, 2.07036, 6.05534, 6.67237, 2.92665, ]; 1.00378; [-9.55565, 7.79417, 15.5714, 13.0944, 18.6817, -2.64982, 5.16993, 15.8569, 12.772, 5.53735, 1.31256, 11.9081, 1.60731, 5.8792, 12.3282, 15.6477, -1.48761, 7.10461, 13.7497, 16.2943, -11.049, ]; 0.442897; [10.5267, -1.00511, 15.5714, 3.39579, 18.6817, 22.929, 6.71753, 15.8569, -5.54191, 3.36065, 20.8684, 0.881928, -6.83847, 6.96452, 12.3282, -1.71418, 10.4199, 2.07036, 6.05534, -6.17449, 2.92665, ];
0; 10; 0.9; 1.34076; 0.876122; 19; 6.57213; [10.5267, 7.79417, 15.5714, 7.91422, -0.26274, 22.929, -0.647377, 3.10647, 6.25371, 3.53699, 20.8684, 0.881928, 3.75126, 5.8792, 17.4717, 15.6477, 10.4199, 2.07036, 0.0452351, 6.67237, 2.92665, ]; 1.13433; [10.5267, 17.6887, 15.5714, 7.91422, 18.6817, 22.929, 6.71753, 15.8569, 6.25371, 5.53735, 1.31256, -6.06343, -6.83847, 13.4734, 17.4717, -1.71418, 10.4199, 2.07036, 13.7497, 4.35408, 2.92665, ]; 0.504483; [-9.55565, -1.00511, 15.5714, 13.0944, -0.26274, -2.64982, -0.647377, 3.10647, 12.772, 3.53699, 1.31256, 11.9081, -6.83847, 5.8792, 17.4717, 15.6477, -1.48761, 7.10461, 13.7497, 16.2943, 2.01425, ];
